cancerType,chname,year2006male,year2006female,year2007male,year2007female,year2008male,year2008female,year2009male,year2009female,year2010male,year2010female,year2011male,year2011female
C00,唇癌,,,,1,,1,,,1,,1,
C01,舌底部癌,,,1,,1,,,,,1,,
C02,舌的其他和未特指部位癌,,,1,1,,2,,,2,,,
C03,牙龈癌,,,1,1,3,,,1,,1,1,
C04,口底癌,,,1,1,1,,,1,,2,1,
C05,腭癌,,,1,,,1,,1,1,,1,
C06,口腔的其他和未特指部位癌,,,,1,,1,3,2,1,2,1,
C07,腮腺癌,,,1,1,,,,,1,1,1,1
C08,其他和未特指的大涎腺癌,,,1,,1,,,,,1,,2
C09,扁桃体癌,,,1,,1,,1,,1,,1,
C10,口咽癌,,,1,,1,,,,1,,1,
C11,鼻咽癌,,,5,,3,3,2,1,1,1,3,2
C12,梨状窝癌,,,,1,1,,,,1,,,
C13,下咽癌,,,1,,1,,1,,1,,2,
C14,唇、口腔和咽的其他和部位不明者癌,,,1,,1,,,,1,,,1
C15,食管癌,8,1,447,256,444,266,445,308,410,298,463,282
C16,胃癌,4,,218,102,198,103,196,112,233,116,265,134
C17,小肠癌,,,1,1,1,2,,2,2,1,2,1
C18,结肠癌,,,6,8,7,15,10,14,10,10,14,19
C19,直肠乙状结肠连接处癌,,,2,1,1,2,1,1,3,,1,
C20,直肠癌,,1,12,11,11,5,16,19,19,18,18,23
C21,肛门和肛管癌,,,2,,2,,,,,1,,1
C22,肝和肝内胆管癌,3,,84,36,102,46,90,59,96,47,72,46
C23,胆囊癌,,,1,1,2,,2,1,3,2,2,4
C24,胆道其他和未特指部位者癌,,,,1,1,1,,1,1,2,1,1
C25,胰癌,,,6,4,6,5,5,5,5,9,10,4
C26,其他和不明确的消化器官癌,,,,2,,1,,,1,,,1
C30,鼻腔和中耳癌,,,2,,1,,,,1,,1,1
C31,副鼻窦癌,,,,2,4,,1,1,1,1,2,1
C32,喉癌,,,6,3,8,3,8,2,13,1,10,1
C33,气管癌,,,1,,1,1,1,,1,1,1,1
C34,支气管和肺癌,4,,119,73,137,65,143,102,138,66,169,79
C37,胸腺癌,,,1,,1,,2,,1,,1,1
C38,心脏、纵隔和胸膜癌,,,,1,1,,1,1,2,1,,1
C39,呼吸和胸腔内器官的其他和部位不明者癌,,,,,1,,,,,,1,
C40,四肢的骨、关节和关节软骨癌,,,3,1,3,4,4,3,3,3,6,6
C41,其他和未特指部位的骨、关节和关节软骨癌,,,2,6,5,1,4,3,3,3,3,1
C42,血液癌,,1,12,8,7,13,16,14,17,10,22,12
C44,皮肤癌,,,2,2,1,4,,3,5,2,3,3
C48,腹膜后和腹膜癌,,,3,,,,,1,1,1,,
C49,结缔组织、皮下组织和其他软组织癌,,,,3,1,,,,,1,1,3
C50,乳房癌,,,,36,,21,,31,,34,,64
C51,外阴癌,,,,1,,2,,,,1,,1
C52,阴道癌,,,,1,,,,,,,,1
C53,宫颈癌,,1,,12,,12,,10,,24,,27
C54,子宫体癌,,,,6,,6,,4,,14,,7
C55,子宫癌,,,,2,,5,,9,,2,,2
C56,卵巢癌,,,,2,,4,,7,,8,,12
C57,其他和未特指的女性生殖器官癌,,,,1,,,,,,,,1
C58,胎盘癌,,,,1,,1,,3,,,,
C60,阴茎癌,,,1,,2,,4,,3,,,
C61,前列腺癌,,,2,,4,,5,,4,,2,
C62,睾丸癌,,,1,,1,,,,1,,1,
C63,其他和未特指的男性生殖器官癌,,,,,,,,,,,1,
C64,肾癌,,,2,1,2,,2,3,6,4,4,2
C65,肾盂癌,,,,1,,1,,,,1,,
C66,输尿管癌,,,1,,,,,,1,,,1
C67,膀胱癌,,,3,1,5,1,11,1,8,1,5,3
C68,其他和未特指的泌尿器官癌,,,1,,,,,,,,,
C69,眼和附器癌,,,,2,1,,,,1,,,
C70,脑(脊)膜癌,,,4,,2,,,3,,2,2,3
C71,脑癌,,1,12,7,13,6,25,15,11,11,6,5
C72,脊髓、颅神经和中枢神经系统的其他部位癌,,,,1,2,1,3,2,1,6,,1
C73,甲状腺癌,1,,3,1,2,3,,4,,3,3,7
C74,肾上腺癌,,,,2,,1,,,,,1,
C75,其他内分泌腺和有关结构癌,,,,,,1,4,,2,,,
C76,其他和不明确部位癌,,,1,,,,1,1,1,1,,
C77,淋巴结癌,,,13,5,6,4,6,5,5,6,12,9
C80,原发部位未知癌,,,,2,1,1,,,,,1,
