cancerType,chname,year2006,year2007,year2008,year2009,year2010,year2011
C00,唇癌 ,,1,1,,1,1
C01,舌底部癌,,1,1,,1,
C02,舌的其他和未特指部位癌,,2,2,,2,
C03,牙龈癌,,2,3,1,1,1
C04,口底癌,,2,1,1,2,1
C05,腭癌,,1,1,1,1,1
C06,口腔的其他和未特指部位癌,,1,1,5,3,1
C07,腮腺癌,,2,,,2,2
C08,其他和未特指的大涎腺癌,,1,1,,1,2
C09,扁桃体癌,,1,1,1,1,1
C10,口咽癌,,1,1,,1,1
C11,鼻咽癌,,5,6,3,2,5
C12,梨状窝癌,,1,1,,1,
C13,下咽癌,,1,1,1,1,2
C14,唇、口腔和咽的其他和部位不明者癌,,1,1,,1,1
C15,食管癌,9,703,710,753,708,745
C16,胃癌,4,320,301,308,349,399
C17,小肠癌,,2,3,2,3,3
C18,结肠癌,,14,22,24,20,33
C19,直肠乙状结肠连接处癌,,3,3,2,3,1
C20,直肠癌,1,23,16,35,37,41
C21,肛门和肛管癌,,2,2,,1,1
C22,肝和肝内胆管癌,3,120,148,149,143,118
C23,胆囊癌,,2,2,3,5,6
C24,胆道其他和未特指部位者癌,,1,2,1,3,2
C25,胰癌,,10,11,10,14,14
C26,其他和不明确的消化器官癌,,2,1,,1,1
C30,鼻腔和中耳癌,,2,1,,1,2
C31,副鼻窦癌,,2,4,2,2,3
C32,喉癌,,9,11,10,14,11
C33,气管癌,,1,2,1,2,2
C34,支气管和肺癌,4,192,202,245,204,248
C37,胸腺癌,,1,1,2,1,2
C38,心脏、纵隔和胸膜癌,,1,1,2,3,1
C39,呼吸和胸腔内器官的其他和部位不明者癌,,,1,,,1
C40,四肢的骨、关节和关节软骨癌,,4,7,7,6,12
C41,其他和未特指部位的骨、关节和关节软骨癌,,8,6,7,6,4
C42,血液癌,1,20,20,30,27,34
C44,皮肤癌,,4,5,3,7,6
C48,腹膜后和腹膜癌,,3,,1,2,
C49,结缔组织、皮下组织和其他软组织癌,,3,1,,1,4
C50,乳房癌,,36,21,31,34,64
C51,外阴癌,,1,2,,1,1
C52,阴道癌,,1,,,,1
C53,宫颈癌,1,12,12,10,24,27
C54,子宫体癌,,6,6,4,14,7
C55,子宫癌,,2,5,9,2,2
C56,卵巢癌,,2,4,7,8,12
C57,其他和未特指的女性生殖器官癌,,1,,,,1
C58,胎盘癌,,1,1,3,,
C60,阴茎癌,,1,2,4,3,
C61,前列腺癌,,2,4,5,4,2
C62,睾丸癌,,1,1,,1,1
C63,其他和未特指的男性生殖器官癌,,,,,,1
C64,肾癌,,3,2,5,10,6
C65,肾盂癌,,1,1,,1,
C66,输尿管癌,,1,,,1,1
C67,膀胱癌,,4,6,12,9,8
C68,其他和未特指的泌尿器官癌,,1,,,,
C69,眼和附器癌,,2,1,,1,
C70,脑(脊)膜癌,,4,2,3,2,5
C71,脑癌,1,19,19,40,22,11
C72,脊髓、颅神经和中枢神经系统的其他部位癌,,1,3,5,7,1
C73,甲状腺癌,1,4,5,4,3,10
C74,肾上腺癌,,2,1,,,1
C75,其他内分泌腺和有关结构癌,,,1,4,2,
C76,其他和不明确部位癌,,1,,2,2,
C77,淋巴结癌,,18,10,11,11,21
C80,原发部位未知癌,,2,2,,,1
