year,cancerType,cancerCount
2006,食管癌,9
2006,胃癌,4
2006,直肠癌,1
2006,肝和肝内胆管癌,3
2006,支气管和肺癌,4
2006,宫颈癌,1
2006,脑癌,1
2006,甲状腺癌,1
2006,血液癌,1
2006,,0
2007,食管癌,703
2007,胃癌,320
2007,支气管和肺癌,192
2007,肝和肝内胆管癌,120
2007,乳房癌,36
2007,直肠癌,23
2007,血液癌,20
2007,脑癌,19
2007,淋巴结癌,18
2007,其他癌,153
2008,食管癌,710
2008,胃癌,301
2008,支气管和肺癌,202
2008,肝和肝内胆管癌,148
2008,结肠癌,22
2008,乳房癌,21
2008,血液癌,20
2008,脑癌,19
2008,直肠癌,16
2008,其他癌,157
2009,食管癌,753
2009,胃癌,308
2009,支气管和肺癌,245
2009,肝和肝内胆管癌,149
2009,脑癌,40
2009,直肠癌,35
2009,乳房癌,31
2009,血液癌,30
2009,结肠癌,24
2009,其他癌,154
2010,食管癌,708
2010,胃癌,349
2010,支气管和肺癌,204
2010,肝和肝内胆管癌,143
2010,直肠癌,37
2010,乳房癌,34
2010,血液癌,27
2010,宫颈癌,24
2010,脑癌,22
2010,其他癌,198
2011,食管癌,745
2011,胃癌,399
2011,支气管和肺癌,248
2011,肝和肝内胆管癌,118
2011,乳房癌,64
2011,直肠癌,41
2011,血液癌,34
2011,结肠癌,33
2011,宫颈癌,27
2011,其他癌,181
